memberId,lastTransactionUtcTs,lastTransactionType,lastTransactionPointsBought,lastTransactionRevenueUSD
A0F18FAA,2019-01-04 17:25:28,gift,500,2.5
351FD0E1,2019-01-04 21:11:34,gift,7800,11.142857142857142
4534B5EA,2019-01-05 01:04:39,redeem,-900,0.0
D70B88C5,2019-01-05 05:57:04,buy,6000,3.1578947368421053
A2C53B36,2019-01-05 12:21:19,buy,6000,3.3333333333333335
6902D348,2019-01-05 14:54:49,buy,1700,0.9444444444444444
3A1B7EE5,2019-01-05 23:13:19,redeem,-5900,0.0
B92C2959,2019-01-06 04:00:38,gift,2800,1.4
92F2C52C,2019-01-07 01:54:00,redeem,-7900,0.0
434EB631,2019-01-07 02:45:38,buy,9200,23.0
CCE5330A,2019-01-07 06:48:34,buy,8100,4.5
2567D20E,2019-01-07 11:50:33,redeem,-2000,0.0
84C7F4C5,2019-01-07 23:26:33,gift,4700,5.222222222222222
3CB06B20,2019-01-08 10:04:54,buy,6900,3.6315789473684212
6CF35330,2019-01-09 20:11:31,gift,8700,29.0
BE4B1889,2019-01-09 21:32:13,redeem,-6500,0.0
0C29817B,2019-01-10 04:00:40,redeem,-8800,0.0
B3D37DD7,2019-01-10 10:26:42,buy,5000,25.0
CB819F1C,2019-01-10 10:57:51,redeem,-1000,0.0
8303F46E,2019-01-10 20:40:06,gift,6400,3.5555555555555554
141D2CF5,2019-01-11 09:06:56,gift,6300,5.7272727272727275
76F0942D,2019-01-11 14:59:45,buy,6200,62.0
EDBD5B25,2019-01-11 15:04:24,gift,6300,4.5
589101BF,2019-01-12 05:54:50,redeem,-2300,0.0
8F55E5FD,2019-01-12 08:16:46,gift,6600,6.0
2567D20E,2019-01-13 01:53:49,gift,9800,4.9
96E9CB29,2019-01-13 04:05:44,redeem,-1800,0.0
EC3BDD69,2019-01-14 02:47:25,redeem,-4100,0.0
19ED018D,2019-01-14 08:47:03,buy,4100,6.833333333333333
65BECAA8,2019-01-14 09:18:12,redeem,-5400,0.0
9857F1CD,2019-01-16 11:02:54,gift,1700,1.2142857142857142
A67C5D0B,2019-01-16 13:37:09,redeem,-4500,0.0
92EE8B9C,2019-01-17 02:25:15,redeem,-5300,0.0
92DC309C,2019-01-17 23:30:51,gift,2600,3.25
FB608F11,,,,
3F660E7D,2019-01-18 21:39:50,buy,9100,7.583333333333333
C14477EB,2019-01-19 14:49:44,gift,8800,9.777777777777779
245EB671,2019-01-19 20:20:38,redeem,-1300,0.0
73CDC6F0,2019-01-22 04:16:34,gift,2000,2.0
D2A0CA57,2019-01-22 23:08:32,gift,1900,9.5
B17CB563,2019-01-23 12:05:36,redeem,-8900,0.0
B26355A5,2019-01-23 23:53:31,redeem,-9900,0.0
5F25361C,2019-01-24 18:56:29,redeem,-8500,0.0
7B78E143,2019-01-24 19:39:30,gift,4100,8.2
2085BB17,2019-01-25 04:00:33,buy,9900,5.5
61A2669E,2019-01-25 19:02:19,gift,9200,18.4
F74FC69A,2019-01-26 09:27:01,buy,9600,16.0
6D6C9C03,2019-01-26 18:07:04,buy,6700,13.4
6044BA19,2019-01-26 18:15:35,gift,8500,14.166666666666666
13A0FF53,2019-01-26 21:07:30,buy,2100,1.5
D5F07DA4,2019-01-27 00:40:41,gift,7500,4.411764705882353
84C7F4C5,2019-01-27 00:51:52,redeem,-3700,0.0
AD432A5B,2019-01-27 06:58:17,buy,2600,1.368421052631579
65FD39D2,2019-01-27 10:26:00,redeem,-7700,0.0
32BBD70C,2019-01-27 22:47:14,buy,7700,12.833333333333334
F44DBBBC,2019-01-27 23:46:35,redeem,-7800,0.0
FD7F939B,2019-01-29 16:50:48,buy,1300,0.6842105263157895
34F3F5AD,2019-01-29 22:45:17,gift,7600,4.222222222222222
